"longitude","laitude","rescore"
-93.625,27.925,-0.00658289044068841
-93.575,27.925,-0.00978306911160471
33.525,27.925,-0.135448590799647
33.575,27.925,-0.149489252120696
33.825,27.925,-0.164852156858355
33.875,27.925,-0.168347331292926
34.375,27.925,-0.113649478306558
34.475,27.925,-0.107515215317861
34.525,27.925,-0.106065826114815
34.575,27.925,-0.117858360365744
34.625,27.925,-0.13833871664405
34.675,27.925,-0.162844854917309
34.725,27.925,-0.189349508598534
34.775,27.925,-0.203759564554254
34.925,27.925,-0.217693391771126
35.075,27.925,-0.273134992705021
35.275,27.925,-0.217324535288033
49.675,27.925,-0.157800767171724
121.225,27.925,-0.23957964226579
-175.975,27.875,-0.141825220182438
-175.925,27.875,-0.142896564772501
-175.875,27.875,-0.136478024108246
-175.825,27.875,-0.12668427882877
-175.775,27.875,-0.110393632984504
-175.725,27.875,-0.104311290194617
-93.825,27.875,-0.00820493712927302
33.525,27.875,-0.12275681305214
33.575,27.875,-0.132280084920508
33.825,27.875,-0.162589333625659
33.875,27.875,-0.161095103539086
33.925,27.875,-0.158393870593841
33.975,27.875,-0.150455052702882
34.325,27.875,-0.128953142020586
34.375,27.875,-0.12611728382266
34.725,27.875,-0.174646069109516
35.075,27.875,-0.201364734222539
35.275,27.875,-0.191205645264006
35.325,27.875,-0.181690887510849
121.175,27.875,-0.237529125142028
121.225,27.875,-0.247676493385931
128.225,27.875,-0.259793993707612
128.875,27.875,-0.220284118980928
128.925,27.875,-0.223898241597813
128.975,27.875,-0.223474737283403
-176.025,27.825,-0.132836127356173
-175.975,27.825,-0.133704490504665
-175.925,27.825,-0.136355290573046
-175.875,27.825,-0.129226670516718
-175.825,27.825,-0.114698181410883
-175.775,27.825,-0.106851963812436
-175.725,27.825,-0.102724168776499
-48.975,27.825,0.0060955156346784
33.575,27.825,-0.0997329935178618
33.625,27.825,-0.116076034407578
33.675,27.825,-0.141008011960649
33.825,27.825,-0.169436537046738
33.875,27.825,-0.169130727496251
33.925,27.825,-0.163358622202453
33.975,27.825,-0.164992588119003
34.025,27.825,-0.170084695756175
34.275,27.825,-0.145133839185452
34.325,27.825,-0.137120645667459
35.075,27.825,-0.173280942410344
35.125,27.825,-0.176957296138524
35.175,27.825,-0.179480815262378
35.225,27.825,-0.177681205264773
35.275,27.825,-0.173158856995588
35.325,27.825,-0.16346964825367
51.675,27.825,0.0537249372672361
51.875,27.825,0.0609070758574047
121.175,27.825,-0.244634792725724
121.225,27.825,-0.262924992152961
121.275,27.825,-0.267584442883597
